Comunidades y Ciudades Autónomas;Periodo;Total
16 País Vasco;2016;-1,37
16 País Vasco;2015;-1,23
16 País Vasco;2014;-0,36
16 País Vasco;2013;-0,28
16 País Vasco;2012;0,12
16 País Vasco;2011;0,61
16 País Vasco;2010;0,83
16 País Vasco;2009;0,59
16 País Vasco;2008;0,87
16 País Vasco;2007;0,62
16 País Vasco;2006;0,71
16 País Vasco;2005;0,13
16 País Vasco;2004;0,42
16 País Vasco;2003;-0,02
16 País Vasco;2002;-0,24
16 País Vasco;2001;-0,21
16 País Vasco;2000;-0,44
16 País Vasco;1999;-0,77
16 País Vasco;1998;-0,98
16 País Vasco;1997;-0,58
16 País Vasco;1996;-0,98
16 País Vasco;1995;-1,03
16 País Vasco;1994;-0,71
16 País Vasco;1993;-0,42
16 País Vasco;1992;-0,09
16 País Vasco;1991;-0,21
16 País Vasco;1990;0,04
16 País Vasco;1989;0,73
16 País Vasco;1988;1,19
16 País Vasco;1987;1,67
16 País Vasco;1986;2,23
16 País Vasco;1985;2,57
16 País Vasco;1984;3,54
16 País Vasco;1983;4,22
16 País Vasco;1982;5,36
16 País Vasco;1981;5,89
16 País Vasco;1980;6,83
16 País Vasco;1979;8,36
16 País Vasco;1978;10,25
16 País Vasco;1977;11,77
16 País Vasco;1976;13,02
16 País Vasco;1975;12,44
17 Rioja, La;2024;-3,86
17 Rioja, La;2023;-3,83
17 Rioja, La;2022;-3,97
17 Rioja, La;2021;-3,81
17 Rioja, La;2020;-4,33
17 Rioja, La;2019;-2,33
17 Rioja, La;2018;-2,78
17 Rioja, La;2017;-1,55
17 Rioja, La;2016;-0,97
17 Rioja, La;2015;-1,15
17 Rioja, La;2014;-0,17
17 Rioja, La;2013;0,1
17 Rioja, La;2012;0,52
17 Rioja, La;2011;0,89
17 Rioja, La;2010;1,62
17 Rioja, La;2009;1,83
17 Rioja, La;2008;2,07
17 Rioja, La;2007;1,36
17 Rioja, La;2006;1,37
17 Rioja, La;2005;0,59
17 Rioja, La;2004;0,93
17 Rioja, La;2003;0,49
17 Rioja, La;2002;-0,21
17 Rioja, La;2001;-0,41
17 Rioja, La;2000;-0,72
17 Rioja, La;1999;-1,82
17 Rioja, La;1998;-1,41
17 Rioja, La;1997;-1,29
17 Rioja, La;1996;-1,67
17 Rioja, La;1995;-1,88
17 Rioja, La;1994;-0,99
17 Rioja, La;1993;-1,3
17 Rioja, La;1992;-1,06
17 Rioja, La;1991;-0,81
17 Rioja, La;1990;-0,9
17 Rioja, La;1989;0,27
17 Rioja, La;1988;0,4
17 Rioja, La;1987;0,49
17 Rioja, La;1986;0,72
17 Rioja, La;1985;1,37
17 Rioja, La;1984;2,62
17 Rioja, La;1983;3,17
17 Rioja, La;1982;3,93
17 Rioja, La;1981;3,58
17 Rioja, La;1980;5,15
17 Rioja, La;1979;5,9
17 Rioja, La;1978;6,53
17 Rioja, La;1977;6,05
17 Rioja, La;1976;8,29
17 Rioja, La;1975;6,45
18 Ceuta;2024;1,96
18 Ceuta;2023;1,48
18 Ceuta;2022;1,36
18 Ceuta;2021;0,54
18 Ceuta;2020;2,31
18 Ceuta;2019;3,59
18 Ceuta;2018;5,13
18 Ceuta;2017;5,7
18 Ceuta;2016;6,52
18 Ceuta;2015;7,02
18 Ceuta;2014;8,2
18 Ceuta;2013;6,57
18 Ceuta;2012;7,61
18 Ceuta;2011;7,85
18 Ceuta;2010;8,14
18 Ceuta;2009;7,74
18 Ceuta;2008;8,82
18 Ceuta;2007;8,03
18 Ceuta;2006;7,67
18 Ceuta;2005;7,87
18 Ceuta;2004;7,96
18 Ceuta;2003;7,31
18 Ceuta;2002;7,25
18 Ceuta;2001;7,34
18 Ceuta;2000;7,68
18 Ceuta;1999;7,4
18 Ceuta;1998;6,46
18 Ceuta;1997;7,6
18 Ceuta;1996;6,44
18 Ceuta;1995;8,69
18 Ceuta;1994;7,71
18 Ceuta;1993;9,79
18 Ceuta;1992;9,14
18 Ceuta;1991;8,36
18 Ceuta;1990;7,29
18 Ceuta;1989;8,44
18 Ceuta;1988;10,29
18 Ceuta;1987;9,45
18 Ceuta;1986;8,43
18 Ceuta;1985;9,28
18 Ceuta;1984;8,73
18 Ceuta;1983;9,6
18 Ceuta;1982;8,95
18 Ceuta;1981;10,32
18 Ceuta;1980;10
18 Ceuta;1979;10,31
18 Ceuta;1978;11,46
18 Ceuta;1977;11,79
18 Ceuta;1976;12,08
18 Ceuta;1975;13,25
19 Melilla;2024;4,17
19 Melilla;2023;3,16
19 Melilla;2022;4,81
19 Melilla;2021;4,29
19 Melilla;2020;4,16
19 Melilla;2019;8,63
19 Melilla;2018;9,56
19 Melilla;2017;9,86
19 Melilla;2016;11,34
19 Melilla;2015;11,66
19 Melilla;2014;13,5
19 Melilla;2013;12,5
19 Melilla;2012;12,64
19 Melilla;2011;12,2
19 Melilla;2010;12,3
19 Melilla;2009;11,71
19 Melilla;2008;11,04
19 Melilla;2007;9,69
19 Melilla;2006;9,83
19 Melilla;2005;9,01
19 Melilla;2004;8,35
19 Melilla;2003;10,05
19 Melilla;2002;9,21
19 Melilla;2001;11,1
19 Melilla;2000;10,39
19 Melilla;1999;9,83
19 Melilla;1998;9,42
19 Melilla;1997;9,86
19 Melilla;1996;10,15
19 Melilla;1995;10,93
19 Melilla;1994;10,34
19 Melilla;1993;12,79
19 Melilla;1992;14,28
19 Melilla;1991;11,46
19 Melilla;1990;11,41
19 Melilla;1989;10,7
19 Melilla;1988;11,17
19 Melilla;1987;10,89
19 Melilla;1986;10,91
19 Melilla;1985;10,93
19 Melilla;1984;9,99
19 Melilla;1983;10,81
19 Melilla;1982;9,72
19 Melilla;1981;8,82
19 Melilla;1980;9,12
19 Melilla;1979;7,16
19 Melilla;1978;7,12
19 Melilla;1977;8,43
19 Melilla;1976;7,81
19 Melilla;1975;5,44
